Name,Frequency
FATMA,772153
AYŞE,563719
EMİNE,471767
HATİCE,374979
ZEYNEP,181151
MERYEM,126624
SULTAN,112376
ŞERİFE,108089
HANİFE,102470
ELİF,99550
ZELİHA,84152
HAVVA,84132
FADİME,81509
CEMİLE,77725
ZEHRA,72083
HACER,69646
SEVİM,64392
HAVA,61347
HAYRİYE,61223
HALİME,61122
HANIM,59486
AYSEL,56636
LEYLA,56164
ASİYE,55905
GÜLSÜM,55742
DÖNDÜ,55500
KADRİYE,54823
KEZİBAN,51186
ZEKİYE,50324
MELEK,49458
HÜLYA,48246
NURİYE,47875
AYNUR,47535
GÜLLÜ,46344
AYTEN,45310
MAKBULE,45188
SONGÜL,44814
NACİYE,43768
HAMİDE,43382
SANİYE,43192
TÜRKAN,43058
RABİA,41249
RUKİYE,41108
SAFİYE,40552
FERİDE,40181
YETER,39796
RAHİME,39555
REMZİYE,38642
ESMA,38209
YASEMİN,36839
ŞÜKRAN,36477
DUDU,36275
HURİYE,36204
NAZMİYE,35919
ÖZLEM,35708
DİLEK,35657
MEDİNE,35647
HEDİYE,35545
SELMA,34754
FİLİZ,34480
SEVGİ,33941
SEHER,33668
NAZİFE,33474
ZAHİDE,32403
SALİHA,31863
ELMAS,31852
KEZBAN,31396
MÜNEVVER,31319
HATUN,30867
YILDIZ,30523
GÜLER,30404
SAADET,30127
NURTEN,30041
CENNET,29947
MELİHA,29860
PERİHAN,29858
ZÜBEYDE,29509
ARİFE,29425
GÜLTEN,29103
SEMRA,28781
HAFİZE,28462
GÜLÜZAR,28401
HABİBE,28214
FİKRİYE,27904
GÖNÜL,27751
NURCAN,27274
ELİFE,26893
RAZİYE,26815
NECLA,26762
BEDRİYE,26370
GÜLAY,26143
ŞÜKRİYE,26058
NURAY,26012
DÖNE,25754
MÜZEYYEN,25168
SİBEL,24550
SERPİL,24407
NERİMAN,24348
ARZU,24117
SATI,23928
KAMİLE,23877
LÜTFİYE,23781
GÜLŞEN,23656
SAKİNE,22643
ESRA,22524
ŞENGÜL,22315
NURAN,22137
ADİLE,21902
DERYA,21892
MELAHAT,21769
AZİZE,21663
NAZLI,21630
SABRİYE,21468
ŞEFİKA,21369
NERMİN,21336
ESME,21195
KIYMET,21120
HASİBE,21063
ALİYE,21062
GÜLSEREN,20993
MERAL,20791
FATİME,20685
ŞAZİYE,20632
ÜMMÜ,20394
AYFER,20390
HÜSNE,20259
PAKİZE,20197
NAİME,20143
HADİCE,19978
NİMET,19372
SEVDA,19355
ÇİĞDEM,19292
NESLİHAN,19209
GÜLCAN,18892
AYŞEGÜL,18872
FAHRİYE,18817
TÜLAY,18557
GÜLİZAR,18360
SEBAHAT,18114
YÜKSEL,18103
MEVLÜDE,18037
BEHİYE,17892
VESİLE,17815
FİDAN,17551
TUĞBA,17476
DİLBER,17366
SIDIKA,17202
REYHAN,16991
NEBAHAT,16984
PINAR,16917
SUNA,16763
SAİME,16694
SEMA,16567
EMEL,16528
AZİME,16371
ZÖHRE,16330
BİRGÜL,16260
SEMİHA,16010
ŞADİYE,15926
NAZİRE,15889
SENEM,15807
BAHAR,15704
CANAN,15679
ALİME,15671
EBRU,15344
KUDRET,15247
SABİHA,15228
İLKNUR,15006
GÜLBAHAR,14925
SERAP,14705
ÜMMÜGÜLSÜM,14702
NAİLE,14437
HÜSNİYE,14409
SELİME,14341
AYİŞE,13818
NURGÜL,13725
HALİSE,13504
NEZAHAT,13504
FİRDEVS,13465
NEVİN,13430
NEJLA,13421
NAFİYE,13359
MERVE,13136
NESRİN,12984
VAHİDE,12938
İPEK,12819
AYSUN,12663
LATİFE,12589
BİRSEN,12504
KÜBRA,12402
ÜMMÜHAN,12397
ZARİFE,12356
GÜLHANIM,12223
GÜLNAZ,12203
EŞE,12184
ZÜLEYHA,12131
NİGAR,12056
SADİYE,11984
BAHRİYE,11942
SUZAN,11908
NİHAL,11831
GÜLDANE,11746
NECMİYE,11721
ŞEHRİ,11707
GÜLHAN,11659
FETHİYE,11624
FEHİME,11396
SIDDIKA,11371
HAMDİYE,11353
MİNE,11206
ŞEMSİ,11172
CEVAHİR,11127
ÇİÇEK,11078
ZÜLFİYE,11049
NESİBE,10991
SEBİHA,10972
KEVSER,10957
NEFİSE,10879
MUKADDES,10712
MÜNİRE,10672
MUAZZEZ,10669
NURSEL,10619
MEDİHA,10555
NEZAKET,10523
SELVER,10467
ŞENAY,10392
HAZAL,10380
SELVİ,10326
CEVRİYE,10325
FEVZİYE,10310
GÜLİSTAN,10279
NADİRE,10215
NURHAN,10205
NAZİME,10154
ŞEHRİBAN,10074
NAHİDE,10017
GÜLSEN,9991
NEŞE,9978
MİYASE,9831
ASLI,9794
HİKMET,9774
GAMZE,9762
TUBA,9651
GÜZEL,9625
RABİYE,9580
BEDİA,9559
YAŞAR,9502
DURDU,9454
BİNNAZ,9446
SABİRE,9336
HURİ,9199
SABAHAT,9172
FİRDES,9133
NİLGÜN,9102
TESLİME,9097
NECİBE,9055
SÜHEYLA,9017
GÜLBEYAZ,9008
MEHTAP,8988
AYLA,8942
GÜL,8899
KİRAZ,8850
SEYRAN,8592
ATİYE,8585
DURSUN,8583
SELDA,8570
ADALET,8553
REFİKA,8509
UMMAHAN,8491
GÜLİ,8488
HÜSNA,8487
SEDA,8475
SEVİNÇ,8451
İNCİ,8427
KADER,8405
MÜŞERREF,8395
ÖZNUR,8358
GÜLPERİ,8346
MELİKE,8305
HÜRÜ,8283
ALTUN,8238
BURCU,8236
KERİME,8231
SİNEM,8122
LEMAN,8026
SEVİL,7986
BEYHAN,7984
İSLİM,7901
ŞİRİN,7875
HİLAL,7864
YELİZ,7755
NİLÜFER,7601
GÜLSER,7531
NURŞEN,7485
SARİYE,7477
BETÜL,7461
DENİZ,7417
NEZİHA,7410
BEYAZ,7332
YURDAGÜL,7299
HALİDE,7294
SEYHAN,7268
BÜŞRA,7262
İSMET,7136
DÜRDANE,7134
GÜLÜSTAN,7132
MÜRÜVVET,7091
MENEKŞE,7080
GÜLÇİN,7073
ŞÜKRÜYE,7069
BEHİCE,7042
SEVİLAY,7010
GÜLLÜZAR,6981
PENBE,6964
ESMER,6956
KİBAR,6938
FİGEN,6928
SÜREYYA,6911
CAHİDE,6905
SÜNDÜS,6888
ASUMAN,6843
ZİNNET,6813
CEYLAN,6776
GÜLŞAH,6694
DUYGU,6617
HAMİYET,6617
GÜLESER,6564
EMRİYE,6553
FUNDA,6528
DURDANE,6471
NURHAYAT,6469
ÜNZİLE,6465
SAMİYE,6448
NAZİK,6438
PERİŞAN,6420
GAZAL,6354
MESUDE,6307
GÜNAY,6302
GÜNER,6284
EDA,6249
DEMET,6240
ÜLKÜ,6224
MÜRVET,6216
GÜNEŞ,6178
NAZAN,6156
GURBET,6084
SEVAL,6049
VASFİYE,6038
NADİYE,6027
EDİBE,6018
AYGÜL,5919
ÖZGÜL,5887
TENZİLE,5880
YEŞİM,5877
HİDAYET,5861
VİLDAN,5817
YADİGAR,5817
NURDAN,5815
RESMİYE,5736
MÜKERREM,5727
TELLİ,5727
SALİHE,5715
ATİKE,5694
MENŞURE,5663
EMİŞ,5651
GÜLÜMSER,5616
DURKADIN,5574
ASYA,5563
NERGİZ,5561
FATIMA,5548
PENPE,5521
HANDAN,5499
MERCAN,5473
GÜLSÜN,5457
BESRA,5453
MELTEM,5398
SAİDE,5380
PAMUK,5354
FATMANA,5274
İKBAL,5273
AİŞE,5200
NEVRİYE,5113
FADİLE,5102
AYHAN,5027
MECBURE,4926
ZÜHRE,4925
SARE,4906
MİHRİBAN,4879
SERVET,4868
ÖZGE,4865
ŞAKİRE,4853
NEDİME,4813
MUKADDER,4806
AYSER,4796
KAMER,4792
GÜLEY,4779
NEBİYE,4759
BESİ,4709
SADET,4709
SEVGÜL,4704
NAZİLE,4674
NAGİHAN,4660
GÜLFİDAN,4650
ŞÖHRET,4646
MÜYESSER,4634
ZENNURE,4609
GANİME,4594
SEVCAN,4588
ÜNZÜLE,4566
HAKİME,4561
NARİN,4556
ŞEHRİYE,4553
FATIM,4532
MEMNUNE,4452
ÜMRAN,4449
GÜLDEN,4436
İSMİHAN,4430
DİLŞAH,4423
RAİFE,4420
ESİN,4383
SARA,4362
LALE,4320
MÜMİNE,4318
HASRET,4317
MUHSİNE,4312
SATİYE,4294
NEZİHE,4287
ŞEMSE,4257
FERDANE,4238
ŞAHİDE,4226
NADİDE,4216
ADLE,4192
GÜLLER,4190
ŞULE,4187
FERİHA,4173
BELGİN,4147
MURADİYE,4139
SATİ,4135
MUALLA,4122
FAZİLET,4115
HACİRE,4091
SOLMAZ,4025
FADİK,4023
PEMBE,3987
KADIN,3974
PERVİN,3969
ZİNET,3935
ESENGÜL,3928
GÜRCÜ,3928
GÜLÜŞAN,3922
MÜJGAN,3894
SEBİLE,3894
BİRCAN,3885
AKİLE,3877
SAFİNAZ,3868
NAFİA,3851
SATU,3839
REFİYE,3810
AYŞEN,3802
MENEVŞE,3794
MÜLKİYE,3783
SEDEF,3765
AYŞAN,3750
OYA,3750
ZEYTUN,3743
AKGÜL,3711
MUZAFFER,3705
HASİNE,3688
HESNA,3670
ŞENEL,3659
ŞEYMA,3653
SACİDE,3623
DÜRİYE,3620
NESİME,3612
SELVİNAZ,3587
AYŞE FATMA,3546
NALAN,3517
AFİFE,3515
ŞENNUR,3501
ZÜHAL,3482
AYLİN,3471
FAZİLE,3460
NURSEN,3447
ZUHAL,3426
ŞEKER,3416
HAYAT,3389
HERDEM,3381
ZEYCAN,3369
SIRMA,3361
BESİME,3349
HADİYE,3310
SENİHA,3274
BEDİHA,3273
DURSUNE,3261
FADİMANA,3260
MÜRÜVET,3260
SÜMEYYE,3259
TEVRAT,3243
SUPHİYE,3236
ASLIHAN,3233
ELVAN,3222
ŞEVKİYE,3218
BERRİN,3204
NAZİKE,3201
SONA,3181
TÜLİN,3168
SALİME,3161
ÜLKER,3149
GÜLCİHAN,3129
ABİDE,3128
CANSU,3128
YOSMA,3128
ZİNİ,3109
HİCRAN,3101
DURİYE,3082
RASİME,3077
ZOZAN,3034
BERNA,3028
BESEY,3021
GÜLLİ,3003
ARZI,2992
İFAKAT,2985
İMRAN,2978
ZERİFE,2971
FINDIK,2961
SÜNDÜZ,2954
HACERE,2952
GÜLZADE,2950
NEZİRE,2948
BESNA,2945
GÜLLİZAR,2939
ALEV,2925
